City,Region,tif_count,Latitude,Longitude,Brightness
Aldan,ASIA,31.0000248,58.61854839,125.3768817,0.61514551
Aleksandrovsk,ASIA,18.0000144,50.90092592,142.1550926,0.234095608
Alekseyevka,EUROPE,32.0000256,50.63463541,38.68385417,0.64796813
Aleksin,EUROPE,56.0000448,54.51279762,37.06145834,0.884286563
Aleppo,ASIA,291.0002328,36.21317297,37.16033792,0.224773479
Alexandria1,NORTH AMERICA,134.0001072,31.31511194,-92.45273632,1.87081404
Alexandria2,NORTH AMERICA,1421.83057,38.87768131,-77.26796988,3.72337782
Alexandria3,AFRICA,495.000396,31.19656565,30.01159933,4.201378681
Alexandroupoli,EUROPE,26.0000208,40.85865384,25.88621795,1.132166126
Aleysk,ASIA,37.0000296,52.49369369,82.76756757,0.360751954
Algeciras,EUROPE,56.11568736,36.15517477,-5.451717216,4.47930052
Algha,ASIA,20.000016,49.90916666,57.32166667,0.144360555
Algiers,AFRICA,1850.00148,36.66834234,3.090941445,3.662561574
Ali Bayramli,ASIA,27.0000216,39.94938271,48.92376544,0.507517629
Ali Sabih,AFRICA,8.000006401,11.15625,42.70104167,0.044812835
Alicante,EUROPE,181.0001448,38.39263352,-0.490699813,3.112097204
Alice,NORTH AMERICA,31.0000248,27.75698925,-98.07768817,1.618637211
Alice Springs,AUSTRALIA,30.000024,-23.69416667,133.8711111,0.617789355
Aligarh,ASIA,10141.30936,27.99065502,78.15303473,0.17053719
Alipur Duar,ASIA,6879.157453,26.39426696,89.80526905,0.081497973
Aliwal North,AFRICA,12.0000096,-30.69305556,26.70972223,0.155292207
Allahabad,ASIA,9655.73072,25.33286064,81.70000997,0.199802535
Allanmyo,ASIA,19.00001518,19.35701754,95.21359649,0.103357416
Allappey,ASIA,2412.916505,9.533484998,76.52756488,0.078291899
Allende,NORTH AMERICA,13.0000104,28.34615384,-100.8525641,0.33333798
Allentown,NORTH AMERICA,636.0005088,40.63535115,-75.41198899,1.983235987
Alliance,NORTH AMERICA,18.0000144,42.10740741,-102.8787037,0.981382452
Almaty,ASIA,506.0004048,43.28183465,76.8985672,2.0245767
Almenara,SOUTH AMERICA,12.0000096,-16.17222222,-40.69583333,0.452868241
Almeria,EUROPE,54.00004319,36.86064815,-2.446296293,3.239674284
Almetyevsk,EUROPE,80.000064,54.90739583,52.315,1.724508654
Almirante,SOUTH AMERICA,5.000004,9.303333332,-82.40166666,0.094941039
Alor Setar,ASIA,285.000228,6.112865495,100.3709649,0.950070243
Alotau,MELANESIA,5.000003998,-10.305,150.445,0.095672678
Alpena,NORTH AMERICA,41.0000328,45.06971545,-83.45792683,0.742063625
Alpine,NORTH AMERICA,13.0000104,30.36474359,-103.6653846,0.170050968
Alta Gracia,SOUTH AMERICA,22.0000176,-31.65151515,-64.42992424,1.317449235
Altagracia de Orituco,SOUTH AMERICA,17.0000136,9.866176469,-66.375,0.843941581
Altamira,SOUTH AMERICA,7.000005601,-3.194047621,-52.21428571,1.242412251
Altay,ASIA,13.00092601,47.85448723,88.12307796,0.529247917
Alton,NORTH AMERICA,145.000116,38.90270115,-90.13132184,2.377689893
Altoona,NORTH AMERICA,112.0000896,40.48779762,-78.40729166,1.002771775
Alvorada,SOUTH AMERICA,1.0000008,-12.475,-49.125,0.300837692
Alwar,ASIA,1889.954757,27.57951236,76.87088804,0.304240805
Alxa Zuoqi,ASIA,8.000006401,38.83645833,105.6645833,0.382716522
Am Timan,AFRICA,12.0000096,11.03402778,20.28402778,0
