City,Region,tif_count_2000,tif_count_2021,Latitude,Longitude,2000 Population,2021 Population,Population Change
Ajaccio,EUROPE,55.99999995,61.99999994,41.94265537,8.750141243,58769.99993,31939.99994,-26829.99999
Ajdabiya,AFRICA,22.00000001,22.00000001,30.76363636,20.22121212,82496.99999,75403,-7093.999989
Ajmer,ASIA,207,207,26.46654589,74.65873591,523578.9994,733112.9995,209534.0001
Aketi,AFRICA,17,17,2.739705882,23.77696078,26370.99996,57387.99992,31016.99996
Akhtubinsk,EUROPE,32,32,48.28151042,46.1640625,47142.99996,24074.99995,-23068
Akita,ASIA,151,151,39.73432671,140.094702,287745.9997,238958.9998,-48786.99988
Akola,ASIA,215,215,20.70515504,76.98755814,472585.9999,572658.9996,100072.9998
Akron,NORTH AMERICA,848.7085322,848.7085322,41.10651086,-81.49852518,503955.7876,500344.2086,-3611.579022
Aksu,ASIA,80,80,41.174375,80.265625,163697.9999,318126.9998,154428.9999
Aksum,AFRICA,27,27,14.11018519,38.74228395,18678.99999,96335.99994,77656.99995
Akureyi,NORTH AMERICA,28.99999999,28.99999999,65.68764368,-18.11264368,3137.999993,15653.99998,12515.99999
Al Ahmadi,ASIA,18,18,29.09490741,48.06574074,22667.99996,47421.99995,24753.99999
Al Amarah,ASIA,81,81,31.8505144,47.14814815,204550.9999,450203.9997,245652.9998
Al Ayn,ASIA,194,194,24.19621993,55.72495704,209456.9998,422417.9997,212960.9999
Al Bayda,AFRICA,1,1,32.75833333,21.625,48.00000002,4377.999972,4329.999972
Al Fallujah,ASIA,33,33,33.35429293,43.7780303,245157.9997,191265.9998,-53891.99998
Al Fujayrah,ASIA,37.00000001,37.00000001,25.1045045,56.34076577,52846.99986,163550.9996,110703.9998
Al Hasakah,ASIA,47.99999999,47.99999999,36.50815972,40.74305556,195803.9998,141099.9999,-54703.99988
Al Hillah,ASIA,151,151,32.48576159,44.4044702,412124.9998,605354.9995,193229.9998
Al Hudaydah,ASIA,101,104,14.80191057,42.98772358,371068.9997,380670.9994,9601.99966
Al Hufuf,ASIA,121,121,25.39676309,49.57114325,589612.9994,561794.9995,-27817.99988
Al Jaghbub,AFRICA,1,1,29.75,24.51666667,148.9999989,578.9999965,429.9999976
Al Jahra,ASIA,53.00000001,53.00000001,29.33144654,47.67940252,127657,116547.9999,-11109.0001
Al Jawf,AFRICA,19,19,24.21973684,23.2877193,7961.999986,18829,10867.00001
Al Jubayl,ASIA,47.00000001,47.00000001,26.99485816,49.64503546,166393.9998,212268.9997,45874.99989
Al Karak,ASIA,88,88,31.14905303,35.71751894,37099.99991,133337.9996,96237.9997
Al Khalil,ASIA,145,145,31.52885057,35.10528736,171119.9999,441581.9996,270461.9998
Al Kharj,ASIA,66,66,24.15315657,47.31691919,197659.9999,281925.9999,84266.00002
Al Khums,AFRICA,15,15,32.65055556,14.25944444,90619.99953,8362.999997,-82256.99954
Al Kut,ASIA,44,44,32.51742424,45.81818182,158243.9998,207816.9996,49572.99987
Al Ladhiqiyah,ASIA,190.9999999,191.9999999,35.56303307,35.81671018,524777.9999,321706.9997,-203071.0002
Al Marj,AFRICA,21,21,32.49325397,20.82857143,46614.99996,117202,70587.00002
Al Mubarraz,ASIA,62.46409391,62.46409391,25.43121486,49.56151684,293290.3691,268581.5783,-24708.7908
Al Mukalla,ASIA,31.99999998,31.99999999,14.55286458,49.12760417,15194,162806.9999,147612.9999
Al Musayyib,ASIA,44,44,32.78617424,44.28844697,64492.99983,104208.9999,39716.00004
Al Qamishli,ASIA,30.87418403,30.87418403,37.04685172,41.2364101,128983.9188,107643.4221,-21340.49671
Al Qunaytirah,ASIA,8.999999993,8.999999993,33.125,35.81666667,9475.999962,955.9999957,-8519.999966
Al Quwayiyah,ASIA,17,17,24.07107843,45.27647059,1676.999996,8644.999975,6967.999979
Al Wajh,ASIA,9.999999981,9.999999996,26.25,36.45333333,26919.99995,27636.99996,717.0000131
Al-Qatif,ASIA,74.12223642,74.12223642,26.52673601,50.00248772,212163.8442,302184.2248,90020.38063
Alagoinhas,SOUTH AMERICA,22,22,-12.1280303,-38.43333333,65844.9999,112393.9998,46548.99995
Alajuela,SOUTH AMERICA,176.4001031,176.4001031,9.993235754,-84.22418963,229587.4948,385482.579,155895.0842
Alamogordo,NORTH AMERICA,35,35,32.91071429,-105.9528571,28647.99999,24927.99998,-3720.000009
Alapayevsk,ASIA,53.00000001,53.00000001,57.85471698,61.68867925,37981.99995,30089.99997,-7891.99998
Alatyr,EUROPE,33.00000001,33.00000001,54.84494949,46.575,41945.99996,35434.99996,-6511.000004
Alayat Samail,ASIA,9.999999999,9.999999999,23.30333333,57.96583333,9242.999971,21805.99994,12562.99997
Albacete,EUROPE,55.99999999,55.99999999,38.99806548,-1.878571429,128275.9999,91971.99998,-36303.99995
Albany1,NORTH AMERICA,178,178,31.59321161,-84.17228464,77308.99996,83087.99994,5778.999982
Albany2,NORTH AMERICA,452.1555382,452.1555382,42.71180817,-73.75775353,315659.6257,387304.0243,71644.39854
Albany3,NORTH AMERICA,73,73,44.63424658,-123.0950913,40031.99998,55643.99996,15611.99998
Albany4,AUSTRALIA,25.99999999,26,-35.00544872,117.8714744,1399.999998,15952.99997,14552.99998
Albert Lea,NORTH AMERICA,35,35,43.65571429,-93.37119048,15295.99999,17058.99998,1762.999995
