City,Region,tif_count,Latitude,Longitude,wc2.1_5m_bio_18.tif,wc2.1_5m_bio_11.tif,wc2.1_5m_bio_19.tif,wc2.1_5m_bio_13.tif,wc2.1_5m_bio_10.tif,wc2.1_5m_bio_3.tif,wc2.1_5m_bio_9.tif,wc2.1_5m_bio_14.tif,wc2.1_5m_bio_2.tif,wc2.1_5m_bio_16.tif,wc2.1_5m_bio_8.tif,wc2.1_5m_bio_5.tif,wc2.1_5m_bio_6.tif,wc2.1_5m_bio_1.tif,wc2.1_5m_bio_12.tif,wc2.1_5m_bio_7.tif,wc2.1_5m_bio_17.tif,wc2.1_5m_bio_4.tif,wc2.1_5m_bio_15.tif
Acarau,SOUTH AMERICA,0.04,-2.833333333,-40.16666667,36,26.99090958,286,339,28.39427567,81.09020233,27.92457962,2,10.52861977,859,27.03249168,34.37171555,21.38787842,27.64755821,1283,12.98383713,9,62.34942627,116.3760223
Acarigua,SOUTH AMERICA,0.82,9.607723577,-69.24898374,104.8536585,25.99823417,561.8658536,213.8536585,27.59688426,78.36425893,27.2020242,14.56097561,10.20895222,561.8658536,25.99823417,33.72265751,20.69515889,26.77347807,1216.756098,13.02749862,50.69512196,62.57842003,68.80440223
Acatlan,NORTH AMERICA,0.07,18.25,-98.08333333,176,21.7998333,14,121,26.19983292,72.21958923,21.7998333,4,16.75566673,317,24.34933281,35.52999878,12.32899952,24.00933266,569,23.20100021,14,174.9554291,99.90883636
Accra,AFRICA,7.47,5.680834449,-0.216421241,213.9678715,25.47225627,173.291834,190.7670683,28.46408268,72.0166131,27.9028166,14.18607764,8.00445543,453.373494,27.50420398,33.18622433,22.07192583,27.13476858,934.8313253,11.1142985,73.7188755,118.5456391,67.70726213
Achinsk,ASIA,1.02,56.29575163,90.43954248,200.0490196,-14.10465853,52.93137255,74.03921569,16.50486955,20.75773073,-12.10251963,11,8.881157482,200.0490196,16.50486955,23.83500013,-18.94800044,1.119743842,437.8627451,42.78300005,40.67647059,1241.834169,55.93626262
Acu,SOUTH AMERICA,0.07,-5.523809524,-36.92857143,173.7142857,26.23338018,75.42857142,178.8571429,28.54797636,78.2394213,27.66085706,2.285714287,9.336380959,439.8571429,28.12185723,33.7415717,21.80857032,27.58967836,694.7142857,11.93300138,11.14285714,93.80581229,105.7368328
Ad Dakhla,AFRICA,0.17,23.75,-16,22,18.4370842,20,16,22.63916779,57.85024261,19.96291733,0,6.985416889,23,22.09291649,26.32999992,14.25500011,20.41145897,50,12.07499981,2,170.3630371,109.1240158
Ad Damman,ASIA,4.04,26.43028053,50.07219472,0,16.92876541,39.55445544,20.81435644,34.57072899,37.37144585,33.34005815,0,11.21380156,53.70544554,17.84569666,41.3424967,11.34314836,26.27089242,78.29455445,29.99934832,0,724.0283656,104.0239083
Ad Diwaniyah,ASIA,0.57,32.02339181,44.88450292,0,12.05205258,57.98245614,21.7368421,34.43328951,38.12767424,34.43328951,0,14.7984445,57.98245614,12.05205258,43.69752663,4.884631651,23.77161849,109.368421,38.81289532,0,916.6595984,84.92183163
Ad Nabk,ASIA,0.21,34.08333333,36.67460317,0,4.16228585,100.952381,38.61904762,21.91831026,42.35128257,21.91831026,0,13.98018637,100.952381,4.16228585,31.46614293,-1.543904798,13.20703025,200.5714286,33.01004791,0,736.5810169,77.35641262
